,一次,二次,三次,logistic
A1,0.9321327809746035,0.9797325072839682,0.9864488196197438,0.9805567443575512
A2,0.9900274237593311,0.9911017336052793,0.9992976069571764,0.9985509381024714
A3,0.9642776631404582,0.96631329052878,0.9872946084055366,0.9839466586023786
A4,0.9950346474672318,0.9958833764197431,0.9987320642279309,0.9945677904190491
A5,0.8730296875598879,0.9940336604036192,0.994447810891234,0.12076496648650681
A6,0.96753745694248,0.9859179709459814,0.9988013663109987,0.20352475934159586
A7,0.9987493677379978,0.9996596333224185,0.9997214296174659,0.3768509808257918
A8,0.954659184156843,0.999062664934187,0.9997981259444905,0.20476783391416098
A9,0.8474922369084199,0.9904763714263596,0.9999180412133584,0.999522527740378
A10,0.8518518028397624,0.9938991535500947,0.9999043867264957,0.9998857183196703
A11,0.8158159390451676,0.9870815453567006,0.9998173946624964,0.9999637974942609
A12,0.9278037699441122,0.9990421172300816,0.9999996319488124,0.9997248578669793
A13,0.8771715979301475,0.9963445636331052,0.999994258252571,0.9999497291966922
A14,0.9290540349853399,0.9970756631064043,0.9997815364080233,0.19624142075705064
B15,0.9254193238002175,0.9988900041518344,0.9999999386114414,0.9997483289243961
B16,0.8633225738214939,0.9914944063508749,0.9999992608351431,0.999279667933203
B17,0.7919918244473897,0.9916230554779275,0.9991632124368343,0.09503285734934441
B18,0.809227796256552,0.9866653555762667,0.9980859691145268,0.9987406759048774
B19,0.8333376242874871,0.9916135140045712,0.9998409521862859,0.12543420167889574
B20,0.8834529797735868,0.9903855623225623,0.9987149459114625,0.1730139358867292
B21,0.8763216533816394,0.9965984054718546,0.9995885271140063,0.15037431552485214
